trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
296,vcgpdm_dyn(20)-lvm(15)_final(2).mov,True,left,1,training(5).mov,0,136,136,6,,,,,,,,08:32:13:682,08:32:14:414,08:32:17:417,right,08:32:17:967,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
297,training(16).mov,False,right,1,vgpdm_dyn(25)-lvm(5)_final(0).mov,0,137,137,47,,,,,,,,08:32:18:756,08:32:19:469,08:32:22:471,right,08:32:23:589,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
298,training(9).mov,True,right,1,vcgpdm_dyn(30)-lvm(20)_final(0).mov,0,138,138,122,,,,,,,,08:32:24:366,08:32:25:091,08:32:28:093,left,08:32:28:594,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
299,tmp_numprim(9)_final(4).mov,True,left,1,training(5).mov,0,139,139,19,,,,,,,,08:32:29:370,08:32:30:095,08:32:33:097,right,08:32:33:631,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
300,training(25).mov,True,right,1,vcgpdm_dyn(20)-lvm(25)_final(2).mov,0,140,140,77,,,,,,,,08:32:34:412,08:32:35:149,08:32:38:151,right,08:32:38:852,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
301,training(26).mov,False,right,1,vgpdm_dyn(30)-lvm(15)_final(0).mov,0,141,141,9,,,,,,,,08:32:39:632,08:32:40:353,08:32:43:373,right,08:32:43:890,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
302,training(39).mov,True,right,1,vgpdm_dyn(20)-lvm(5)_final(9).mov,0,142,142,86,,,,,,,,08:32:44:664,08:32:45:408,08:32:48:394,right,08:32:49:862,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
303,training(9).mov,True,right,1,dmp_npsi(45)_final(2).mov,0,143,143,97,,,,,,,,08:32:50:635,08:32:51:363,08:32:54:364,right,08:32:54:797,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
304,training(29).mov,True,right,1,vgpdm_dyn(25)-lvm(30)_final(2).mov,0,144,144,152,,,,,,,,08:32:55:570,08:32:56:298,08:32:59:301,right,08:33:00:086,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
305,training(7).mov,True,right,1,vcgpdm_dyn(15)-lvm(20)_final(3).mov,0,145,145,20,,,,,,,,08:33:00:858,08:33:01:587,08:33:04:592,left,08:33:04:925,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
